"exampleName","run","status","scored","mark","overallScore","elapsedSeconds","lowMarkRun"
"test-SG-1",1,"scored",TRUE,10,100,5.8,FALSE
"test-SG-1",2,"scored",TRUE,10,100,5.8,FALSE
"test-SG-1",3,"scored",TRUE,10,100,5.7,FALSE
"test-SG-2",1,"scored",TRUE,10,100,5.5,FALSE
"test-SG-2",2,"scored",TRUE,10,100,5.7,FALSE
"test-SG-2",3,"scored",TRUE,10,100,5.4,FALSE
"test-SG-3",1,"scored",TRUE,10,100,5.5,FALSE
"test-SG-3",2,"scored",TRUE,10,100,5.2,FALSE
"test-SG-3",3,"scored",TRUE,10,100,5.3,FALSE
"test-SG-4",1,"scored",TRUE,10,100,5.8,FALSE
"test-SG-4",2,"scored",TRUE,10,100,6,FALSE
"test-SG-4",3,"scored",TRUE,10,100,10,FALSE
"test-SG-5",1,"scored",TRUE,10,100,9.1,FALSE
"test-SG-5",2,"scored",TRUE,10,100,8,FALSE
"test-SG-5",3,"scored",TRUE,9.62,96.2,7.6,FALSE
